Codigo,Lat,Lon,Area
66280000,-16.1928,-55.9669,28900
66270000,-15.8697,-56.0761,25300
66260110,-15.7536,-55.5483,316
66260050,-15.7417,-55.53,256
66260001,-15.6156,-56.1086,23500
66259650,-15.6175,-56.0511,608
66240080,-14.8714,-55.7847,3350
66210000,-14.8675,-55.8003,9370
66201200,-16.1111,-55.3758,68
66201100,-16.1061,-55.3439,54
66174000,-15.2136,-55.6411,693
66171500,-15.0919,-55.4417,1360
66171400,-15.1411,-55.4981,1210
66170600,-15.3422,-55.4611,860
66170500,-15.3575,-55.4553,810
66170100,-15.3569,-55.3986,279
66165000,-15.3669,-55.4367,432
66164600,-15.5175,-55.4028,194
66162000,-14.81,-55.2761,2580
66125000,-17.6414,-57.6906,68900
66120000,-17.1433,-57.3594,64000
66071470,-15.3942,-58.6328,0
66071450,-15.3922,-58.6375,0
66071397,-15.2919,-58.7075,2280
66071395,-15.2889,-58.7067,2270
66071390,-15.2622,-58.7222,2240
66071385,-15.2378,-58.7297,2230
66071380,-15.1322,-58.7297,2130
66071375,-15.13,-58.7294,2130
66071363,-15.0528,-58.7508,0
66071360,-15.045,-58.7492,1800
66071355,-15.0369,-58.7358,1800
66071353,-15.0231,-58.7217,0
66070004,-16.0761,-57.7022,32400
66064000,-15.4686,-57.8936,3610
66056000,-15.2308,-57.6981,8209
66053200,-14.9756,-57.7461,139
66052900,-14.8261,-57.9031,1970
66052800,-14.8283,-57.9119,0
66052600,-14.7956,-57.9706,139
66052500,-14.7606,-58.0242,1790
66052081,-14.7592,-58.0458,1790
66052080,-14.7406,-58.1014,1750
66051000,-14.7106,-58.1025,817
66030000,-14.61,-57.7281,3602
66029010,-14.6122,-57.7458,593.03
66029000,-14.6108,-57.7439,593.03
66028500,-14.5928,-57.7731,593.03
66028000,-14.5564,-57.8122,593.03
66025500,-14.355,-57.6164,154
66025000,-14.3331,-57.6156,148
66010000,-15.0761,-57.1819,9250
66007000,-14.8142,-56.8381,3607
66005960,-14.4253,-56.8247,825
66005950,-14.3917,-56.8292,811
66005900,-14.3456,-56.7964,538
66005800,-14.3464,-56.7947,560
66005600,-14.3272,-56.7494,450
66005400,-14.3153,-56.7269,429
66005100,-14.4772,-56.3922,344
65987001,-25.5667,-53.9333,63900
65984000,-25.5853,-53.7278,62098
65983100,-25.5042,-53.6722,61580
65975300,-25.4217,-53.5003,1387
65973501,-25.5419,-53.4844,57100
65970001,-25.3939,-53.1039,1080
65963071,-25.5711,-53.1133,7470
65962000,-25.6822,-52.9844,7240
65960001,-25.7739,-52.9244,6700
65958000,-25.8058,-52.9067,6670
65957000,-25.8181,-52.9014,6481
65956000,-25.8831,-52.8631,2342
65955000,-25.915,-52.8494,1720
65954950,-26.0347,-52.9236,770
65954900,-26.0389,-52.9331,767
65954400,-26.0617,-52.9222,693
65954200,-26.0864,-52.9394,650
65950200,-26.0817,-53.0739,336
65948000,-26.1525,-53.02,272
65945600,-25.9922,-52.7858,585
65945500,-25.9972,-52.785,580
65945400,-25.9972,-52.7856,578
65945200,-26.01,-52.7939,565
65928000,-25.9833,-52.75,3670
65927001,-26.0289,-52.6281,3390
65894991,-25.5331,-53.0106,45800
65889700,-25.4103,-52.7406,409.62
65883051,-25.6103,-52.6164,43900
65875500,-25.7808,-52.4917,0
65855110,-25.5089,-52.2292,1510
65855080,-25.4878,-52.2156,1500
65854500,-25.3811,-52.0261,767
65832000,-25.9722,-52.1514,28.7
65831900,-25.9797,-52.1614,23.58
65831020,-26.0411,-52.175,395
65831000,-26.0528,-52.1783,386
65826612,-25.7542,-52.0872,4670
